SEP=,
Artist,Title,IsDuet,HasCoverImage,HasBackgroundImage,HasVideo
Lady GaGa,Alejandro,false,true,true,true
Lady Gaga,Always Remember Us This Way,false,true,true,true
Lady GaGa,Bad Romance,false,true,true,true
Lady GaGa,Born This Way,false,true,true,true
Lady Gaga,Dance in the dark,false,true,true,true
Lady GaGa,"Eh, Eh (Nothing Else I Can Say)",false,true,true,true
Lady Gaga,Fashion,false,true,true,true
Lady GaGa,Judas,false,true,true,true
Lady GaGa,LoveGame,false,true,true,true
Lady GaGa,Paparazzi,false,true,true,true
Lady Gaga,Poker Face,false,true,true,true
Lady GaGa,So Happy I Could Die,false,true,true,true
Lady Gaga,The Cure,false,true,true,true
Lady GaGa,You And I,false,true,true,true
Lady GaGa feat. Beyonce,Telephone,true,true,true,true
Lady GaGa feat. Beyonce,Telephone,false,true,true,true
Lady GaGa feat. Colby O'Donis,Just Dance,false,true,true,true
"Lady Gaga, Bradley Cooper",Shallow,false,true,true,true
Lana Del Rey,Radio,false,true,true,true
Lil Nas X feat. Miley Cyrus,Am I Dreaming,false,true,true,true
Lilly Wood & The Prick and Robin Schulz,Prayer in C,false,true,true,true
Linkin Park,Breaking the Habit,false,true,true,true
Linkin Park,Crawling,false,true,true,true
Linkin Park,Crawling (Duet),false,true,true,true
Linkin Park,In The End,false,true,true,true
Linkin Park,Leave Out All The Rest,false,true,true,true
Linkin Park,Numb,false,true,true,true
Linkin Park,One More Light,false,true,true,true
Linkin Park,What I've done,false,true,true,true
Little Mix,Black Magic,false,true,true,true
Little Mix,Shout Out To My Ex,false,true,true,true
Little Mix,Sweet Melody,false,true,true,true
Little Mix,Think About Us,false,true,true,true
Little Mix feat. Jason Derulo,Secret Love Song,false,true,true,true
Little Mix feat. Machine Gun Kelly,No More Sad Songs (Video Version),false,true,true,true
Little Mix Ft. Saweetie,Confetti,false,true,true,true
LMFAO,Sexy and I Know It,false,true,true,true
"LMFAO, Lauren Bennett & Goon Rock",Party Rock Anthem,false,true,true,true
Lost Frequencies & Mathieu Koss,Don't Leave Me Now,false,true,true,true
Lost Frequencies & Zonderling,Crazy,false,true,true,true
Lost Frequencies,Are You With Me,false,true,true,true
Lost Frequencies ft. Sandro Cavazza,Beautiful Life,false,true,true,true
Lou Bega,Mambo No. 5,false,true,true,true
Lukas Graham,7 Years,false,true,true,true
Lykke Li,I Follow Rivers [Video Version],false,true,true,true
Machine Gun Kelly & Camila Cabello,Bad Things,false,true,true,true
Machine Gun Kelly,bloody valentine,false,true,true,true
Machine Gun Kelly,kiss kiss,false,true,true,true
Macklemore & Ryan Lewis Feat Wanz,Thrift Shop,false,true,true,true
Madcon,Dont Worry,false,true,true,true
Madonna,Hung Up,false,true,true,true
Madonna,Like a Virgin,false,true,true,true
Madonna,Ray Of Light,false,true,true,true
Magic!,Rude,false,true,true,true
Major Lazer feat. Justin Bieber & M,Cold Water,false,true,true,true
Marc Cohn,Walking In Memphis,false,true,true,true
Marco Borsato,De Bestemming,false,true,true,true
Marco Borsato,Dromen Zijn Bedrog,false,true,true,true
Marco Borsato,Ik Leef Niet Meer Voor Jou,false,true,true,true
Marco Borsato,Je Hoeft Niet Naar Huis Vannacht,false,true,true,true
Marco Borsato,Onbewoonbaar Verklaard,false,true,true,true
Marco Borsato,Rood,false,true,true,true
Mark Ronson feat. Miley Cyrus,Nothing Breaks Like A Heart,false,true,true,true
Mark Ronson Ft. Bruno Mars,Uptown Funk,false,true,true,true
Maroon 5,Animals,false,true,true,true
Maroon 5,Girls Like You ft. Cardi B,false,true,true,true
Maroon 5,Maps,false,true,true,true
Maroon 5,She Will Be Loved,false,true,true,true
Maroon 5,Sugar,false,true,true,true
Maroon 5,This Love,false,true,true,true
Maroon 5 feat. Christina Aguilera,Moves Like Jagger,true,true,true,true
Maroon 5 feat. Christina Aguilera,Moves Like Jagger,false,true,true,true
Maroon 5 feat. SZA,What Lovers Do,false,true,true,true
Maroon 5 Feat. Wiz Khalifa,Payphone,false,true,true,true
Marshmello & Anne-Marie,FRIENDS,false,true,true,true
Mart Hoogkamer,Ik Ga Zwemmen,false,true,true,true
Martin Garrix & Bebe Rexha,In The Name Of Love,false,true,true,true
Martin Garrix & Dua Lipa,Scared To Be Lonely,false,true,true,true
Martin Garrix feat. Bono & The Edge,We Are the People,false,true,true,true
Martin Garrix feat. Usher,Dont Look Down,false,true,true,true
Master Kg Ft. Nomcebo,Jerusalema,false,true,true,true
Meduza & Dermot Kennedy,Paradise,false,true,true,true
Mega Mindy,Mega Mindy Tijd,false,true,true,true
Men at Work,Down Under,false,true,true,true
Metallica,Enter Sandman,false,true,true,true
Metallica,Nothing Else Matters,false,true,true,true
Metallica,Seek and destroy,false,true,true,true
Michael Buble,Everything,false,true,true,true
Michael Buble,Havent Met You Yet,false,true,true,true
Michael Buble,Save The Last Dance For Me,false,true,true,true
Michael Jackson,Bad,false,true,true,true
Michael Jackson,Beat It,false,true,true,true
Michael Jackson,Billie Jean,false,true,true,true
Michael Jackson,Black or white,false,true,true,true
Michael Jackson,Smooth Criminal,false,true,true,true
Michael Jackson,This is it,false,true,true,true
Michael Jackson,Thriller,false,true,true,true
Mike Posner,Cooler Than Me,false,true,true,true
Miley Cyrus,Adore You,false,true,true,true
Miley Cyrus,Cant Be Tamed,false,true,true,true
Miley Cyrus,Every Rose Has Its Thorn,false,true,true,true
Miley Cyrus,Jolene,false,true,true,true
Miley Cyrus,Malibu,false,true,true,true
Miley Cyrus,Midnight Sky,false,true,true,true
Miley Cyrus,Party In The U.S.A.,false,true,true,true
Miley Cyrus,Prisoner (feat. Dua Lipa),false,true,true,true
Miley Cyrus,See You Again,false,true,true,true
Miley Cyrus,The Climb,false,true,true,true
Miley Cyrus,We Can't Stop,false,true,true,true
Miley Cyrus,When I Look At You,false,true,true,true
Miley Cyrus,Who Owns My Heart,false,true,true,true
Miley Cyrus,Wrecking Ball,false,true,true,true
Miley Cyrus ft. Billy Ray Cyrus,Butterfly Fly Away,false,true,true,true
Milow,Ayo Technology,false,true,true,true
Milow,Howling At The Moon,false,true,true,true
Milow,You And Me (In My Pocket),false,true,true,true
Milow,You Don't Know,false,true,true,true
Mumford and Sons,Little Lion Man,false,true,true,true
Natalia vs Lady Gaga,Pokkenteef,false,true,true,true
Nathan Evans,Wellerman,false,true,true,true
Nena,99 Luftballons,false,true,true,true
